age,income,loan_amount,loan_term_months,credit_score,employment_years,num_prior_defaults,home_ownership,purpose,default
45,182917,554429,66,646,2,0,own,personal,1
46,199255,624584,42,569,9,0,rent,home_improvement,1
35,335746,252768,48,654,3,3,mortgage,home_improvement,1
33,216120,477571,49,533,2,0,rent,business,1
47,283683,471800,15,671,7,0,rent,home_improvement,1
36,196479,50000,19,730,15,1,own,auto,0
25,178942,434122,16,750,9,0,mortgage,personal,1
27,51170,452805,12,677,7,0,rent,personal,1
29,20000,451912,50,509,7,0,mortgage,business,1
43,188613,924774,41,636,0,0,mortgage,business,1
39,226780,135261,37,791,2,0,own,home_improvement,0
45,65664,252613,6,551,0,1,rent,business,1
34,215863,50000,73,615,13,0,mortgage,education,0
40,226450,355725,20,733,12,1,rent,personal,1
44,20000,381307,73,669,8,1,rent,personal,1
35,110185,347007,10,818,7,0,rent,auto,1
43,268872,832303,21,561,0,0,mortgage,business,1
31,266447,758185,6,541,5,0,rent,personal,1
34,81559,523357,43,718,13,0,rent,home_improvement,1
34,239014,388816,16,524,7,1,rent,medical,1
26,342689,807857,17,604,4,0,rent,auto,1
43,313249,494073,11,615,0,0,mortgage,home_improvement,1
33,208566,254519,50,703,12,1,own,education,1
38,163843,50000,49,669,6,0,mortgage,medical,0
43,144479,367606,69,657,0,0,mortgage,auto,1
42,276138,726393,24,588,2,0,rent,auto,1
45,243412,1182962,40,717,1,0,mortgage,personal,1
37,295528,518483,13,850,5,0,mortgage,education,1
34,235825,270393,30,675,7,0,mortgage,business,1
37,318252,144510,27,628,4,0,mortgage,home_improvement,0
21,231351,665586,44,516,9,1,rent,home_improvement,1
24,314163,50000,54,569,6,0,mortgage,personal,0
25,324499,665104,54,603,10,1,rent,home_improvement,1
28,123457,745313,21,577,5,0,mortgage,personal,1
42,20000,630884,54,619,18,0,rent,personal,1
29,405219,434101,35,762,4,0,own,medical,1
34,250799,669482,30,720,2,0,mortgage,home_improvement,1
51,20000,551282,23,607,2,0,own,home_improvement,1
34,134342,266563,26,523,5,1,rent,business,1
45,312625,1055124,67,727,0,1,mortgage,personal,1
29,186439,394496,42,616,7,2,mortgage,personal,1
36,158553,732726,39,482,0,0,own,personal,1
28,388106,50000,31,677,7,0,mortgage,education,0
35,94326,882941,80,702,1,0,mortgage,auto,1
46,124222,940629,59,426,4,0,mortgage,personal,1
21,245366,508950,23,554,8,0,rent,auto,1
42,266855,667631,31,611,15,0,own,education,1
40,279561,667555,32,679,2,0,mortgage,medical,1
32,329349,307165,39,579,5,0,mortgage,auto,1
24,243829,664137,23,553,3,0,rent,auto,1
39,278726,257411,44,678,3,2,rent,medical,1
33,188895,317373,62,583,3,0,rent,medical,1
40,227524,838083,12,663,9,1,mortgage,personal,1
38,232904,792397,16,531,4,1,mortgage,personal,1
54,245812,288087,27,512,15,0,own,home_improvement,1
36,312705,279927,28,680,8,0,rent,medical,1
28,286617,306321,72,640,2,0,rent,personal,1
40,225306,719792,54,694,5,0,mortgage,education,1
40,122905,200005,53,577,3,0,rent,education,1
52,228121,607014,31,556,9,1,rent,personal,1
46,216638,724054,31,729,0,0,rent,personal,1
42,243182,473526,10,498,1,0,mortgage,home_improvement,1
53,484783,803019,50,720,4,0,own,education,1
26,157147,408707,45,726,9,0,rent,personal,1
32,270675,435843,59,689,11,0,rent,business,1
29,348215,206826,32,565,12,0,mortgage,auto,0
34,231760,805153,33,555,8,1,rent,education,1
24,500541,270044,39,603,6,0,rent,auto,0
44,174635,604932,52,516,9,1,rent,personal,1
36,258891,478605,10,543,1,0,rent,personal,1
23,124143,184165,49,672,0,0,mortgage,home_improvement,1
28,177817,317269,36,672,8,1,mortgage,education,1
41,249872,914862,17,536,2,0,rent,business,1
46,321556,560497,6,674,6,1,mortgage,personal,1
58,258291,197255,34,656,6,1,rent,business,0
67,371094,591598,62,741,7,0,mortgage,auto,1
42,208604,456166,66,666,10,0,rent,medical,1
28,180140,1536214,42,705,9,1,rent,auto,1
18,544478,585537,71,658,7,0,mortgage,education,1
41,267309,385813,35,698,4,0,mortgage,personal,1
30,133662,926008,53,517,6,0,mortgage,personal,1
34,136688,50000,28,610,4,0,own,business,0
32,106878,528296,27,617,5,0,mortgage,personal,1
37,332388,1098329,24,601,16,0,mortgage,personal,1
49,176275,465140,6,656,7,0,rent,home_improvement,1
40,235283,50000,59,671,8,0,own,personal,0
36,212379,381225,24,651,3,0,own,education,1
28,307779,936355,22,606,10,0,own,business,1
21,118391,612821,15,561,9,0,mortgage,medical,1
33,90931,248343,32,708,9,0,own,personal,1
37,246916,294427,68,648,7,1,rent,education,1
56,292115,332090,74,539,10,1,rent,education,1
39,259904,608359,6,605,11,0,mortgage,auto,1
48,122866,901459,30,481,7,1,rent,medical,1
33,301298,815727,17,623,6,0,mortgage,home_improvement,1
26,130737,636804,54,604,10,0,rent,personal,1
28,157415,100507,41,574,2,0,rent,personal,0
31,106726,101620,25,747,3,1,mortgage,medical,0
59,376139,659976,37,528,6,0,rent,auto,1
30,296011,96359,27,677,0,0,mortgage,business,0
46,292599,432330,65,795,9,0,rent,personal,1
29,369665,591245,46,706,2,1,own,personal,1
47,557518,158722,48,617,4,1,own,medical,0
42,20000,192721,6,529,5,0,mortgage,home_improvement,1
36,131395,471764,35,511,6,0,rent,personal,1
38,146059,651095,73,587,5,0,rent,business,1
31,117902,818456,60,565,6,0,own,auto,1
42,90690,682116,6,562,6,0,mortgage,personal,1
33,184042,522097,30,594,4,0,mortgage,education,1
26,74008,276142,14,612,3,1,mortgage,personal,1
25,260205,178728,67,659,10,0,own,medical,0
40,226204,346737,40,521,0,0,own,auto,1
54,277723,622981,22,565,5,0,mortgage,auto,1
40,280927,600987,37,607,4,1,mortgage,personal,1
37,292361,50000,6,604,8,0,mortgage,business,0
41,175191,264297,16,767,0,0,mortgage,home_improvement,1
51,474537,861352,37,639,4,0,mortgage,auto,1
40,248132,523765,51,491,6,0,rent,auto,1
34,20000,74897,6,653,10,0,rent,home_improvement,0
49,99715,1206746,29,664,7,1,mortgage,personal,1
42,20000,491317,54,610,1,0,own,business,1
53,222080,615300,10,523,4,0,rent,education,1
40,205383,619857,40,761,10,0,own,home_improvement,1
26,163789,389721,37,534,1,0,own,auto,1
24,461311,281728,67,673,6,0,mortgage,auto,0
55,285878,1136502,32,636,6,1,mortgage,auto,1
55,307132,800962,33,668,4,0,rent,personal,1
36,108271,746581,51,757,17,0,own,personal,1
34,100103,672887,12,665,4,0,rent,home_improvement,1
53,224417,199005,32,575,8,0,mortgage,personal,0
27,240761,883259,28,708,3,0,rent,personal,1
29,20000,247060,33,570,8,0,own,personal,1
44,198363,584986,51,633,9,0,own,auto,1
34,221689,50000,46,517,4,0,own,education,0
38,194182,50000,23,537,6,0,own,personal,0
36,122393,595487,38,624,2,0,mortgage,business,1
41,155256,257270,63,649,1,0,own,business,1
52,198777,50000,21,484,10,1,rent,personal,0
39,230896,662183,39,660,4,0,rent,business,1
44,292575,1136024,33,554,0,1,own,auto,1
18,349703,916868,35,722,13,0,rent,auto,1
38,184678,422805,7,592,3,0,mortgage,home_improvement,1
30,165261,502654,61,530,5,0,rent,home_improvement,1
26,272519,766312,22,626,13,0,mortgage,auto,1
29,293301,836638,54,547,5,0,rent,auto,1
35,167896,396939,25,722,5,1,mortgage,auto,1
47,314847,510253,25,620,1,0,rent,education,1
25,337550,590184,58,608,0,0,own,medical,1
38,375002,666163,54,667,5,0,rent,personal,1
33,433399,460077,40,540,7,0,own,home_improvement,1
35,116030,463974,50,517,7,0,rent,medical,1
48,221668,913950,31,653,4,0,mortgage,personal,1
43,221353,862856,36,532,6,0,own,business,1
51,208231,643223,24,532,0,1,mortgage,medical,1
36,142088,1015733,52,687,8,0,mortgage,auto,1
31,41733,384066,24,662,7,0,own,education,1
36,231122,986892,63,520,14,0,mortgage,business,1
40,127797,662755,30,570,6,0,rent,home_improvement,1
40,230319,1481308,36,548,2,0,own,auto,1
27,124715,142255,50,762,6,0,rent,medical,0
39,88041,293196,36,692,5,1,mortgage,business,1
40,248116,625639,31,586,8,0,rent,home_improvement,1
63,238111,619170,35,666,6,0,rent,personal,1
57,289514,1085042,52,512,1,0,own,education,1
29,482304,299488,24,566,0,0,own,business,0
35,253275,771476,34,628,7,1,rent,personal,1
23,278210,848739,36,656,12,0,own,auto,1
32,90693,711394,52,612,6,1,mortgage,education,1
41,65571,211701,34,640,9,0,rent,education,1
50,409940,922328,69,626,10,0,rent,medical,1
31,109182,868797,33,607,7,0,mortgage,personal,1
31,94727,679875,32,596,3,0,mortgage,business,1
18,215308,561304,33,586,7,1,rent,auto,1
36,209177,567832,12,639,11,0,own,business,1
27,111699,476379,17,653,8,0,rent,auto,1
33,183403,692236,26,636,9,0,mortgage,personal,1
29,367525,509340,56,526,4,0,rent,home_improvement,1
37,123281,245443,35,540,5,1,rent,business,1
20,52759,185423,27,652,6,0,rent,auto,1
23,333111,274389,58,738,6,0,own,personal,1
59,279076,566640,64,632,11,0,rent,education,1
25,145538,491913,59,587,0,0,mortgage,home_improvement,1
27,30140,564603,21,638,6,1,own,auto,1
56,130645,650244,27,529,6,1,own,home_improvement,1
67,213435,311804,69,725,1,0,mortgage,auto,1
26,359881,939698,40,635,9,0,rent,medical,1
34,95610,419687,31,566,3,1,rent,auto,1
41,209858,369972,49,607,5,0,rent,personal,1
55,301017,644716,54,578,13,0,mortgage,home_improvement,1
28,20000,50000,26,725,10,0,rent,personal,0
36,344054,262840,40,604,8,0,mortgage,home_improvement,1
46,78106,794322,53,632,8,2,own,personal,1
42,259839,50000,15,666,5,0,own,personal,0
34,249602,835272,36,561,14,1,own,home_improvement,1
37,350150,953341,16,635,9,1,rent,medical,1
24,286111,389163,18,642,3,1,rent,personal,1
36,20000,587544,26,496,0,0,mortgage,education,1
35,125826,835726,45,640,8,0,rent,personal,1
40,236585,359963,30,616,6,0,own,business,1
32,196602,760333,24,630,0,0,mortgage,personal,1
43,277313,298655,37,623,8,1,rent,education,1
48,314724,356719,15,641,5,0,rent,personal,1
40,293014,260199,44,727,8,0,rent,medical,1
42,194287,602794,56,526,8,1,rent,home_improvement,1
39,20000,847391,35,593,4,1,mortgage,business,1
38,165342,444766,32,673,9,0,mortgage,auto,1
31,269964,118625,43,658,4,1,rent,personal,0
41,89146,175188,6,657,4,0,mortgage,personal,1
37,295753,618380,46,840,4,0,rent,business,1
59,329007,1053235,92,669,11,0,mortgage,personal,1
54,235224,618117,34,710,5,0,mortgage,education,1
42,20000,383931,34,595,11,0,rent,auto,1
30,66629,729855,49,541,13,0,own,home_improvement,1
27,446343,428150,66,595,3,1,mortgage,education,1
50,154415,386514,54,677,0,0,rent,education,1
41,20000,212462,6,653,10,0,rent,home_improvement,1
43,368230,922535,46,652,5,0,own,home_improvement,1
21,221603,50000,82,603,3,1,rent,education,0
47,352593,739358,47,590,4,0,rent,business,1
43,253235,360877,15,606,4,0,rent,education,1
27,275027,376898,41,678,11,0,mortgage,auto,1
33,263561,1007695,13,687,7,0,rent,personal,1
41,303699,285761,58,540,11,0,own,medical,1
39,493292,295979,19,681,8,0,rent,medical,0
35,336521,460882,37,568,5,1,rent,personal,1
37,30359,624154,21,658,4,0,own,personal,1
35,273599,367443,26,605,8,0,rent,medical,1
40,356978,50000,63,745,9,0,own,personal,0
53,364324,240291,38,587,10,0,rent,medical,0
18,168807,884400,26,634,5,1,own,medical,1
36,359793,522433,15,669,7,0,rent,auto,1
40,331329,635326,6,550,8,0,mortgage,personal,1
41,528702,421574,13,614,4,0,rent,auto,1
34,130000,302151,38,599,1,0,mortgage,auto,1
20,159112,1003271,54,579,3,0,rent,education,1
41,183266,443542,26,585,5,1,rent,medical,1
55,161173,366989,64,709,9,1,own,business,1
23,113198,828843,23,572,11,0,rent,personal,1
47,20000,283292,32,665,1,0,own,medical,1
35,167836,321582,17,645,4,0,mortgage,auto,1
37,264323,503074,54,508,5,0,mortgage,business,1
27,160813,500081,74,662,9,0,own,personal,1
35,452246,577883,6,507,4,0,mortgage,education,1
51,221605,1127501,30,670,4,0,own,education,1
44,374923,600874,59,579,0,1,rent,auto,1
55,251370,50000,10,621,8,1,mortgage,home_improvement,0
50,319169,597890,46,516,5,0,rent,personal,1
42,253509,511364,58,630,3,0,rent,personal,1
55,384254,513035,37,694,5,0,rent,medical,1
42,226713,573784,46,555,11,0,rent,education,1
46,279534,491397,68,571,2,0,rent,personal,1
35,263960,484216,71,656,3,0,rent,auto,1
39,185406,683913,35,658,11,0,own,personal,1
31,268598,337376,26,425,6,1,mortgage,business,1
48,488126,215694,19,781,9,0,mortgage,education,0
26,187552,1407134,54,662,8,0,rent,personal,1
46,270336,285243,11,676,6,0,rent,auto,1
36,370933,530043,31,609,5,0,own,home_improvement,1
50,356830,51302,38,472,9,1,rent,home_improvement,0
46,221406,534941,27,674,11,0,rent,personal,1
56,20000,220032,41,575,10,0,own,medical,1
45,282004,367258,82,664,1,0,mortgage,personal,1
22,20000,813519,34,602,11,0,rent,personal,1
37,396392,641603,28,639,5,1,own,business,1
26,240337,670523,54,558,3,0,own,home_improvement,1
33,339961,50000,40,689,5,1,mortgage,personal,0
53,111747,1051069,62,525,9,1,rent,business,1
44,33699,142436,39,800,8,0,mortgage,medical,0
31,251291,958568,32,799,5,0,mortgage,business,1
28,215968,806463,6,751,9,0,rent,business,1
38,161015,673200,7,722,7,0,own,education,1
26,230159,243505,6,613,4,0,own,home_improvement,1
31,552092,545477,43,713,3,0,rent,personal,1
41,320143,358724,11,612,8,1,own,education,1
50,345940,508712,59,496,6,0,rent,auto,1
44,321272,425038,37,740,0,0,mortgage,business,1
18,397535,50000,32,710,9,0,rent,personal,0
41,197191,836535,21,617,4,0,own,auto,1
39,20000,475668,47,522,12,0,rent,business,1
42,197370,354560,22,573,0,0,own,auto,1
54,317408,331902,18,474,5,0,own,personal,1
18,103624,607538,57,696,3,0,own,personal,1
32,198836,231873,42,492,2,0,own,medical,1
44,136988,50000,32,643,4,0,rent,auto,0
22,400244,622139,48,553,13,0,rent,auto,1
53,309935,655731,36,506,7,0,mortgage,education,1
42,298185,440110,43,639,3,0,rent,home_improvement,1
46,294592,155629,21,593,0,0,mortgage,business,0
32,215530,526681,73,687,0,0,own,personal,1
46,243707,60640,26,519,4,0,mortgage,home_improvement,0
49,77778,191831,64,559,3,1,rent,business,1
40,20000,274791,33,429,5,0,own,medical,1
40,238010,753182,51,445,0,1,rent,education,1
41,258879,391217,49,764,6,0,mortgage,personal,1
29,365112,365640,57,787,10,0,own,medical,1
37,408560,1086408,21,627,12,1,own,education,1
36,408400,605739,55,554,0,0,mortgage,auto,1
42,100237,601698,69,596,3,1,rent,personal,1
48,177728,389090,31,690,3,1,own,personal,1
27,277640,321088,37,579,7,1,mortgage,education,1
37,523829,50000,27,639,1,0,rent,personal,0
53,397612,790622,30,619,13,1,mortgage,medical,1
31,354328,634493,67,574,6,0,mortgage,business,1
30,173465,446250,18,578,6,0,mortgage,auto,1
40,114016,458832,19,643,12,1,mortgage,personal,1
46,314669,720843,65,542,6,1,rent,personal,1
38,87921,50000,47,656,8,0,own,auto,0
51,191388,323036,74,582,3,0,rent,business,1
47,206227,159109,28,630,1,1,mortgage,education,0
46,411149,1031453,38,731,4,0,rent,business,1
44,177436,762697,24,607,15,0,mortgage,home_improvement,1
61,20000,50000,39,694,9,2,rent,personal,0
36,280533,50000,6,477,7,0,rent,medical,0
18,136117,460296,48,582,2,0,rent,auto,1
54,225116,358268,42,622,10,0,mortgage,auto,1
33,209595,102685,35,774,1,1,rent,auto,0
39,187156,1083429,29,463,0,0,rent,auto,1
51,314841,593762,20,612,4,0,rent,medical,1
22,36056,642445,49,737,14,0,rent,education,1
25,157958,292396,15,557,14,0,mortgage,auto,1
22,302085,716682,45,603,4,0,own,personal,1
30,146310,385870,73,647,3,0,rent,education,1
42,26943,414997,63,635,0,0,rent,medical,1
43,300227,683301,9,745,6,0,rent,education,1
41,354771,50000,26,656,7,0,rent,personal,0
24,214601,979108,44,726,9,0,rent,auto,1
18,20000,554717,35,591,10,0,rent,business,1
39,304716,884283,11,561,5,0,rent,medical,1
33,20813,177374,43,602,8,0,rent,personal,1
43,257056,223050,36,527,3,0,mortgage,auto,1
45,113504,151430,70,659,8,0,rent,auto,0
39,80819,575089,31,589,4,0,own,medical,1
46,166971,519795,57,566,8,0,own,personal,1
40,198004,360676,13,660,8,1,mortgage,education,1
43,142695,195779,17,529,6,0,rent,home_improvement,1
31,290644,120021,49,682,9,0,mortgage,auto,0
36,166472,485455,56,582,0,0,mortgage,auto,1
40,337623,360324,19,713,2,0,mortgage,personal,1
46,253741,294318,36,589,5,0,mortgage,personal,1
34,136293,964127,11,671,0,0,rent,home_improvement,1
43,116087,475302,33,634,4,1,mortgage,home_improvement,1
35,22300,881013,51,680,5,0,mortgage,personal,1
37,254888,340024,28,629,11,0,rent,home_improvement,1
46,177449,573433,32,487,7,0,rent,personal,1
18,20000,483357,16,701,10,0,mortgage,education,1
25,155714,50000,24,613,7,0,rent,medical,0
23,111876,928501,68,683,4,0,mortgage,auto,1
18,409081,459454,37,675,7,0,rent,education,1
31,20000,723925,18,558,9,1,mortgage,education,1
45,47038,274391,30,547,11,0,rent,personal,1
35,353196,450547,7,672,5,0,mortgage,home_improvement,1
40,382812,239944,18,596,0,1,own,personal,0
49,130602,870800,60,695,0,0,mortgage,personal,1
51,144150,593423,33,606,5,0,rent,home_improvement,1
37,293948,610116,70,702,0,0,rent,auto,1
52,20000,907455,34,654,13,0,rent,auto,1
39,20000,846902,35,643,8,3,rent,personal,1
30,186312,729603,48,590,3,0,mortgage,personal,1
32,405987,73482,6,639,2,0,rent,personal,0
23,167712,291296,40,715,10,0,rent,auto,1
29,232112,198834,35,616,2,0,mortgage,education,0
34,356055,718260,63,662,2,0,rent,auto,1
46,472826,551196,53,624,3,0,rent,business,1
55,150778,82846,16,630,6,2,own,home_improvement,0
24,217980,443377,58,758,8,0,rent,auto,1
42,438647,51766,31,716,11,0,mortgage,home_improvement,0
28,37336,484053,20,626,10,0,own,business,1
43,343310,50000,40,637,6,0,rent,home_improvement,0
37,97802,658648,32,564,10,0,own,medical,1
20,232297,613389,64,606,3,0,mortgage,personal,1
47,190886,1072385,42,645,0,1,rent,personal,1
32,105039,754362,40,688,3,0,mortgage,home_improvement,1
33,102028,373126,52,680,3,1,rent,education,1
27,253170,745421,56,531,3,0,own,home_improvement,1
31,339465,80701,50,698,2,0,mortgage,medical,0
42,204432,211258,62,613,4,0,rent,personal,1
36,228414,599943,47,541,8,0,own,auto,1
41,288541,50000,39,727,13,0,rent,home_improvement,0
42,103406,488852,58,737,0,0,mortgage,personal,1
51,308763,193921,34,641,1,1,own,medical,0
35,318321,530392,37,677,3,0,rent,home_improvement,1
23,532435,176679,67,681,9,1,rent,personal,0
49,174867,627274,65,732,5,0,mortgage,personal,1
35,165030,505798,36,678,3,1,rent,education,1
49,312276,920110,28,514,9,0,rent,business,1
42,318293,502020,62,781,10,0,rent,education,1
37,155790,269407,50,705,6,0,own,personal,1
41,171620,425934,42,579,3,1,rent,personal,1
58,284936,96729,30,538,7,0,mortgage,auto,0
59,120690,621841,42,660,5,0,own,auto,1
39,170736,676955,36,598,5,1,rent,personal,1
40,230751,1240759,24,646,4,0,own,business,1
49,339513,313449,38,679,10,1,rent,personal,1
30,147448,419662,41,575,7,0,rent,business,1
41,20000,327272,29,531,10,0,own,home_improvement,1
38,20000,563634,52,651,11,1,rent,education,1
41,68870,614507,59,577,8,0,mortgage,education,1
30,62420,483988,53,632,4,1,own,personal,1
22,201447,825898,31,513,10,0,rent,education,1
18,77334,314906,50,600,8,0,mortgage,auto,1
27,135669,795852,37,677,16,1,own,personal,1
33,127110,661549,14,668,7,0,rent,education,1
35,167139,496391,48,557,9,0,own,personal,1
57,378701,405519,39,527,7,0,mortgage,personal,1
49,299434,1228000,83,621,6,1,rent,medical,1
28,221936,254897,62,665,5,0,rent,auto,1
41,164677,589380,49,652,7,1,own,personal,1
34,168012,274934,40,579,8,0,rent,personal,1
35,259330,1035686,39,644,11,1,rent,personal,1
40,290100,766048,18,740,7,0,own,education,1
44,111086,296495,6,636,4,0,mortgage,education,1
35,224378,653778,20,489,5,0,mortgage,personal,1
49,20000,577309,35,636,1,0,rent,education,1
27,245406,345013,6,784,13,0,rent,home_improvement,1
38,311458,727449,26,517,4,2,rent,education,1
64,186392,616792,32,622,10,0,rent,education,1
40,437983,564710,32,602,7,0,own,education,1
52,114251,487424,24,628,7,1,rent,business,1
39,246093,629316,30,636,6,0,mortgage,home_improvement,1
44,215701,568816,67,711,3,1,own,personal,1
37,207964,517728,48,627,2,0,own,personal,1
36,206281,307695,26,722,13,0,mortgage,personal,1
30,232853,1008130,35,611,6,0,own,business,1
42,321755,184874,35,592,11,0,mortgage,personal,0
29,385328,628291,22,566,12,0,mortgage,home_improvement,1
45,219730,403928,22,475,4,1,own,personal,1
49,317838,1027864,54,642,8,0,rent,education,1
42,135788,228955,28,784,6,0,rent,personal,1
35,311915,279421,16,657,1,2,mortgage,auto,1
43,128561,209055,35,675,5,1,rent,auto,1
35,350879,597040,38,587,8,0,mortgage,medical,1
47,485277,88085,6,600,4,0,rent,auto,0
20,205350,356441,35,699,5,0,mortgage,auto,1
35,20000,50000,52,781,5,0,rent,medical,0
18,154231,572126,44,739,14,0,mortgage,home_improvement,1
23,367825,349936,76,684,0,0,rent,business,1
52,286369,53583,59,623,8,1,rent,medical,0
47,249870,825683,62,637,5,1,mortgage,auto,1
31,341040,107700,86,560,3,1,rent,home_improvement,0
23,278134,739083,50,504,5,0,rent,auto,1
18,366127,289688,39,530,9,0,mortgage,home_improvement,1
33,330331,980471,54,624,9,1,mortgage,business,1
62,402604,724865,26,597,7,0,rent,personal,1
42,263056,197586,38,502,10,1,own,personal,0
32,328631,224875,24,617,11,0,rent,medical,0
43,183145,681658,43,595,9,0,rent,medical,1
22,147825,421287,24,526,4,0,own,education,1
35,424812,449197,24,590,8,0,rent,home_improvement,1
39,245945,881672,43,594,8,0,own,education,1
37,316586,275393,34,571,3,0,rent,auto,1
46,234849,527388,6,694,0,0,mortgage,education,1
41,149618,786388,10,468,0,1,own,personal,1
45,221318,742735,15,461,6,0,rent,education,1
31,392319,452116,20,620,7,0,mortgage,home_improvement,1
47,286629,413328,43,628,1,0,mortgage,personal,1
54,20000,50000,40,652,10,1,rent,business,0
28,194171,183127,55,577,7,0,mortgage,business,0
29,433875,595508,50,547,11,0,rent,personal,1
51,194344,458635,55,619,7,0,rent,business,1
36,20000,522478,47,585,2,1,rent,business,1
52,447166,811776,40,744,8,0,rent,auto,1
34,301887,143803,56,594,9,0,own,personal,0
53,211598,429146,53,616,4,0,own,auto,1
39,175430,556613,43,818,0,0,mortgage,education,1
41,349882,288752,59,604,6,1,rent,personal,1
54,154962,929443,6,664,2,0,rent,auto,1
34,357791,772576,31,672,10,0,rent,home_improvement,1
29,285063,587040,30,679,4,0,rent,medical,1
34,249362,1038270,57,643,13,1,mortgage,medical,1
43,237462,50331,64,636,0,0,mortgage,home_improvement,0
22,199004,497682,10,628,7,0,mortgage,personal,1
44,345477,609901,61,574,12,2,mortgage,personal,1
33,116159,225633,15,646,2,0,rent,medical,1
49,25369,590214,15,782,5,1,rent,auto,1
18,293733,168025,32,717,4,0,rent,personal,0
30,295749,707167,30,644,3,0,mortgage,business,1
21,277629,817350,8,688,7,0,rent,personal,1
30,268927,581700,48,550,1,0,rent,education,1
40,181535,50000,48,599,6,0,own,education,0
36,314498,209962,55,696,8,0,rent,education,0
35,214533,669413,28,739,5,0,own,auto,1
36,161546,506360,35,558,2,0,rent,personal,1
40,182573,50000,35,581,10,1,own,home_improvement,0
28,462477,872849,66,795,9,0,rent,home_improvement,1
45,20000,540997,6,628,2,0,mortgage,auto,1
45,279975,254278,19,766,1,0,mortgage,personal,1
42,20000,798487,36,637,2,0,rent,education,1
44,207012,296738,16,640,8,0,mortgage,auto,1
41,167965,293464,31,596,7,1,mortgage,personal,1
58,20000,607506,34,695,9,0,own,personal,1
37,266685,1034312,24,729,5,1,mortgage,personal,1
35,174395,987076,37,537,2,0,mortgage,auto,1
30,20000,607913,47,592,10,0,rent,auto,1
28,320748,638716,32,693,4,1,rent,business,1
26,392201,737450,28,610,7,0,rent,auto,1
29,398815,122905,33,581,0,0,own,auto,0
37,263075,693245,36,701,4,0,mortgage,personal,1
41,225527,279778,6,708,10,0,own,business,1
39,379379,595543,44,584,3,0,rent,personal,1
30,421886,431760,28,637,9,0,mortgage,personal,1
